ShortName,Latitude,Longitude,LongName
02-0,18 26.375n,064 42.556w,02-0 Sandy Cay N
04-10,18 22.949n,064 43.298w,04-10 Little Thatch WNW
04-9,18 22.894n,064 43.302w,04-9 Little Thatch W
05,18 25.473n,064 31.243w,05 Beef Isl Bluff wide
05,18 24.412n,064 35.000w,05 BVI B-23
05,18 24.649n,064 31.069w,05 BVI B-24
05,18 22.855n,064 39.892w,05 BVI B-25
06-6,18 19.397n,064 39.019w,06-6 Flanagan S
06-9,18 19.549n,064 39.234w,06-9 Flanagan WSW
07-4,18 19.861n,064 37.435w,07-4 Pelican SE
08-10,18 19.344n,064 37.327w,08-10 Norman Water Pt
08-6,18 18.234n,064 37.404w,08-6 Norman S
09-2,18 21.458n,064 33.686w,09-2 Peter NE
09-4,18 19.664n,064 33.598w,09-4 Peter SE
09-6,18 19.367n,064 34.160w,09-6 Peter S
10-3,18 21.929n,064 33.535w,10-3 DeadChest E
10-6,18 21.622n,064 33.634w,10-6 DeadChest S
11-0,18 22.630n,064 31.183w,11-0 Salt N
11-4,18 21.996n,064 31.236w,11-4 Salt SE
11-5,18 21.773n,064 31.382w,11-5 Salt SSE
12-0,18 23.518n,064 30.722w,12-0 Cooper N
12-3,18 22.977n,064 30.069w,12-3 Cooper E
12-6,18 21.808n,064 30.077w,12-6 Cooper S
12-7,18 22.131n,064 30.731w,12-7 Cooper SW
12-9,18 22.761n,064 31.176w,12-9 Cooper W
13-1,18 23.707n,064 28.141w,13-1 Ginger NE
13-3,18 23.392n,064 28.018w,13-3 Ginger E
13-6,18 22.717n,064 28.331w,13-6 Ginger S
18,18 30.584n,064 25.841w,18 Seal Dogs
19-01,18 29.953n,064 27.200w,19-01 Dogs NNE
19-04,18 28.664n,064 26.335w,19-04 Dogs SE
19-08,18 29.005n,064 28.550w,19-08 Dogs SW
19-11,18 29.781n,064 27.880w,19-11 Dogs NW
Area A ,18 22.344n,064 34.525w,Area A (SOL)
Area D ,18 23.383n,064 37.967w,Area D (SOL)
